"title","id","addr","cate.major","cate.minor","avg.cost","url"
"好食在早午餐","1049790","新北市新莊區中平路46巷6號","早餐","西式早餐",109,"http://www.ipeen.com.tw/shop/1049790-好食在早午餐"
"新源發早餐店","152963","高雄市岡山區平和路154號","早餐","中式早餐",48,"http://www.ipeen.com.tw/shop/152963-新源發早餐店"
"壹零捌 · 一","1012652","台南市中西區信義街108巷1號","早餐","其他類型早餐",180,"http://www.ipeen.com.tw/shop/1012652-壹零捌-·-一"
"暮香炭烤吐司","1061794","台中市北屯區太原路三段167號","早餐","其他類型早餐",72,"http://www.ipeen.com.tw/shop/1061794-暮香炭烤吐司"
"豐滿咖啡早午餐(土城延吉店)","1078934","新北市土城區延吉街353巷4號","早餐","早午餐",200,"http://www.ipeen.com.tw/shop/1078934-豐滿咖啡早午餐-土城延吉店"
"倉庫早頓","937180","台南市東區崇仁街5號","早餐","西式早餐",150,"http://www.ipeen.com.tw/shop/937180-倉庫早頓"
"點點餐桌dottable","951524","台南市東區府連東路靠近林森路上的公園旁","早餐","西式早餐",55,"http://www.ipeen.com.tw/shop/951524-點點餐桌dottable"
"幸福公寓","601210","高雄市鼓山區華豐街104號","早餐","西式早餐",132,"http://www.ipeen.com.tw/shop/601210-幸福公寓"
"麥町吐司工房(桃園市中壢區文化店)","1045288","桃園市中壢區文化路325號1樓","早餐","中式早餐",0,"http://www.ipeen.com.tw/shop/1045288-麥町吐司工房-桃園市中壢區文化店"
"<U+307F><U+3084><U+3073>日式早餐 碳烤三明治","996646","新北市蘆洲區長安街223號1樓","早餐","西式早餐",44,"http://www.ipeen.com.tw/shop/996646-<U+307F><U+3084><U+3073>日式早餐-碳烤三明治"
"Brunch &","1065352","高雄市苓雅區青年一路6-6號","早餐","西式早餐",364,"http://www.ipeen.com.tw/shop/1065352-Brunch"
"夏弄早午餐專賣店","1002630","高雄市苓雅區林森二路45號","早餐","西式早餐",145,"http://www.ipeen.com.tw/shop/1002630-夏弄早午餐專賣店"
"阿星鹹粥","87330","台南市中西區民族路三段289號","早餐","中式早餐",93,"http://www.ipeen.com.tw/shop/87330-阿星鹹粥"
"嘉香早點","606094","台中市西屯區大業路143號","早餐","西式早餐",64,"http://www.ipeen.com.tw/shop/606094-嘉香早點"
"拉亞漢堡 Laya Burger(高雄大豐)","70307","高雄市三民區大豐二路112-1號","早餐","西式早餐",65,"http://www.ipeen.com.tw/shop/70307-拉亞漢堡-Laya-Burger-高雄大豐"
"崔記早點","56045","宜蘭縣羅東鎮公正路37號","早餐","中式早餐",34,"http://www.ipeen.com.tw/shop/56045-崔記早點"
"豐滿總匯三明治(中壢中原店)","1135004","桃園市中壢區中山東路二段79號","早餐","早午餐",195,"http://www.ipeen.com.tw/shop/1135004-豐滿總匯三明治-中壢中原店"
"晴天小店","933540","台北市內湖區文湖街21巷36-1號","早餐","西式早餐",91,"http://www.ipeen.com.tw/shop/933540-晴天小店"
"路易先生早午餐","1018836","台南市中西區開山路52巷5號","早餐","西式早餐",243,"http://www.ipeen.com.tw/shop/1018836-路易先生早午餐"
"豐滿咖啡早午餐(民族店)","1048918","新北市板橋區民族路294號","早餐","早午餐",208,"http://www.ipeen.com.tw/shop/1048918-豐滿咖啡早午餐-民族店"
